country,diabetesRatesByCountry_in1000s_2021,diabetesRatesByCountry_percDiabetes2021,diabetesRatesByCountry_Undiag_per1000s_2021,diabetesRatesByCountry_MortalityAttributable_2021,diabetesRatesByCountry_in1000s_2011,diabetesRatesByCountry_percDiabetes2011,diabetesRatesByCountry_Undiag_per1000s_2011,diabetesRatesByCountry_MortalityAttributable_2011
Algeria,2013,7.1,810.1,21749,1435.1,7,883.6,9395
Argentina,1806.8,5.4,564.3,26944,1531.8,5.5,684.2,15049
Afghanistan,1606.7,10.9,1146.9,31743,818.3,7.6,409.2,15568
Poland,2677,6.8,1745.1,5330,3057.5,9,-,29959
Canada,2974,7.7,1123.3,53046,2716.1,8.4,-,17638
Morocco,2327.7,9.1,936.8,31435,1267.9,6.8,-,6992
Ukraine,2325,5.6,920.1,58126,1196,2.9,-,23103
Angola,584.5,4.6,386,11173,185.3,2.9,148.3,2384
Saudi Arabia,4274.1,18.7,1863.5,32054,2759.6,19.6,-,15399
Uzbekistan,1351.8,7,1000.3,16670,812.9,6.4,-,11449
Yemen,613.9,5.4,136.6,8561,727.1,9.6,-,7067
Mozambique,349.3,3.3,302.9,11832,294.7,3.1,-,8805
Ghana,329.2,2.6,175.4,6255,517.4,5,-,6108
Peru,1300.7,4.8,485.2,8667,942.2,6,-,7010
Malaysia,4431.5,19,2175.6,41238,2029.9,12.1,-,24938
Nepal,1133.5,8.7,492.9,9022,488.2,3.6,-,11297
Madagascar,535.8,4.6,308.6,9718,428,4.7,-,5407
Ivory Coast,231.2,2.1,123.1,3991,406.5,4.9,-,4271
Venezuela,2280,9.6,456,30280,1674.6,10.2,-,12730
