Year,State,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2006.0,Arkansas,2.9,11.2,18.1,14.9
2006.0,California,1.9,12.4,22.5,21.6
2006.0,Colorado,1.6,7.4,14.9,14.2
2006.0,Connecticut,2.1,8.1,15.6,13.9
2006.0,Delaware,2.7,10.4,21.7,15.2
2006.0,District of Columbia,2.3,13.5,20.9,17.4
2006.0,Florida,2.5,11.7,17.7,14.9
2006.0,Georgia,3.0,13.8,23.8,22.7
2006.0,Hawaii,1.8,12.3,18.4,16.7
2006.0,Idaho,1.9,10.1,15.3,17.5
2006.0,Illinois,2.7,11.3,20.8,17.8
2006.0,Indiana,2.8,10.0,19.9,20.0
2006.0,Iowa,1.7,9.4,16.7,18.2
2006.0,Kansas,2.6,9.1,17.9,16.9
2006.0,Kentucky,3.1,15.4,22.1,16.0
2006.0,Louisiana,2.9,14.2,20.9,17.1
2006.0,Maine,1.9,7.8,17.1,16.9
2006.0,Maryland,2.4,11.0,20.1,18.3
2006.0,Massachusetts,2.1,8.0,15.7,15.2
2006.0,Michigan,2.9,12.6,21.8,17.7
2006.0,Minnesota,1.7,7.8,13.9,14.8
2006.0,Mississippi,4.0,16.2,24.7,18.3
2006.0,Missouri,1.3,11.0,18.2,16.5
2006.0,Montana,1.9,8.1,14.7,13.1
2006.0,Nebraska,2.3,9.7,18.5,16.1
2006.0,Nevada,3.0,9.2,21.2,16.1
2006.0,New Hampshire,2.6,9.1,16.1,20.1
2006.0,New Jersey,1.5,10.4,21.7,16.3
2006.0,New Mexico,2.0,10.5,17.5,15.3
2006.0,New York,1.2,11.7,18.5,19.7
2006.0,North Carolina,3.2,12.4,22.8,19.3
2006.0,North Dakota,1.9,8.4,18.6,13.7
2006.0,Ohio,2.3,8.6,15.4,15.0
2006.0,Oklahoma,3.2,15.0,21.2,18.2
2006.0,Oregon,2.2,7.7,18.8,16.1
2006.0,Pennsylvania,2.2,11.6,18.9,17.7
2006.0,Rhode Island,3.1,8.8,17.7,16.2
2006.0,South Carolina,2.8,14.2,22.5,18.2
2006.0,South Dakota,2.3,8.0,14.2,15.0
2006.0,Tennessee,4.0,14.8,23.1,21.5
2006.0,Texas,2.4,12.8,21.5,17.0
2006.0,Utah,1.5,8.7,21.3,17.9
2006.0,Vermont,1.5,7.4,14.9,14.4
2006.0,Virginia,1.5,10.9,21.1,17.0
2006.0,Washington,2.2,9.9,18.7,15.0
2006.0,West Virginia,4.0,15.8,22.8,24.2
2006.0,Wisconsin,1.6,8.5,15.6,14.5
2006.0,Wyoming,1.8,8.9,15.0,14.0
2006.0,Puerto Rico,3.0,17.1,31.1,29.2
2006.0,Virgin Islands of the U.S.,3.2,13.7,18.1,24.0
2007.0,Alabama,3.9,13.9,23.5,18.0
2007.0,Alaska,2.4,8.6,19.0,11.7
2007.0,Arizona,2.9,12.7,21.5,12.0
2007.0,Arkansas,3.5,13.3,17.6,17.2
2007.0,California,2.0,10.6,22.5,19.4
2007.0,Colorado,1.5,7.4,14.0,16.8
2007.0,Connecticut,2.5,8.5,18.6,16.1
2007.0,Delaware,3.1,11.2,20.8,18.4
2007.0,District of Columbia,2.4,12.5,21.4,18.9
2007.0,Florida,2.4,10.9,18.9,18.1
2007.0,Georgia,4.3,14.6,24.4,23.0
2007.0,Hawaii,1.9,10.3,21.2,14.4
2007.0,Idaho,2.6,10.8,17.7,20.2
2007.0,Illinois,3.0,11.9,22.1,19.3
2007.0,Indiana,1.7,12.4,23.0,17.6
2007.0,Iowa,1.7,8.4,17.0,15.6
2007.0,Kansas,2.0,10.1,16.5,17.5
2007.0,Kentucky,3.1,14.4,22.3,18.4
2007.0,Louisiana,3.2,13.9,26.9,21.8
2007.0,Maine,2.7,9.4,16.8,16.3
2007.0,Maryland,2.1,11.7,22.0,18.8
2007.0,Massachusetts,2.5,9.5,17.9,16.3
2007.0,Michigan,2.8,11.4,22.0,20.4
2007.0,Minnesota,1.5,8.0,12.0,15.5
2007.0,Mississippi,3.9,15.4,25.7,23.8
2007.0,Missouri,2.0,11.9,18.7,15.2
2007.0,Montana,2.1,7.9,16.0,14.2
2007.0,Nebraska,1.9,9.7,17.2,16.3
2007.0,Nevada,2.5,11.0,19.6,20.4
2007.0,New Hampshire,1.6,9.3,17.7,17.9
2007.0,New Jersey,2.8,12.1,22.7,20.1
2007.0,New Mexico,3.2,10.1,18.5,13.8
2007.0,New York,1.8,12.6,18.8,17.6
2007.0,North Carolina,2.7,13.3,21.2,19.9
2007.0,North Dakota,1.6,8.3,15.9,13.7
2007.0,Ohio,3.0,12.9,21.7,18.9
2007.0,Oklahoma,3.5,14.2,22.5,18.4
2007.0,Oregon,1.5,9.6,18.3,15.2
2007.0,Pennsylvania,2.7,10.2,19.9,19.8
2007.0,Rhode Island,1.8,10.0,18.0,15.8
2007.0,South Carolina,3.3,13.3,21.9,18.7
2007.0,South Dakota,2.3,8.0,16.2,14.9
2007.0,Tennessee,5.1,15.4,24.7,24.9
2007.0,Texas,4.6,14.5,25.3,20.6
2007.0,Utah,1.6,9.8,16.7,17.7
2007.0,Vermont,2.7,8.5,15.4,14.4
2007.0,Virginia,2.3,10.9,21.2,19.3
2007.0,Washington,2.3,9.6,17.8,16.1
2007.0,West Virginia,3.5,14.4,22.6,19.5
2007.0,Wisconsin,1.4,8.4,17.6,15.4
2007.0,Wyoming,2.0,8.5,17.8,17.6
2007.0,Guam,2.7,19.2,26.1,
2007.0,Puerto Rico,2.9,20.1,33.0,23.1
2007.0,Virgin Islands of the U.S.,1.7,13.3,25.0,28.8
2008.0,Alabama,4.1,15.8,23.4,19.3
2008.0,Alaska,3.4,8.1,20.8,14.9
2008.0,Arizona,2.3,10.7,19.6,18.0
2008.0,Arkansas,3.3,12.7,20.2,19.2
2008.0,California,3.0,12.3,21.9,18.1
2008.0,Colorado,2.3,8.0,15.3,14.3
2008.0,Connecticut,2.1,8.2,18.0,14.0
2008.0,Delaware,2.7,10.7,19.6,17.6
2008.0,District of Columbia,2.0,11.9,20.3,22.9
2008.0,Florida,2.1,13.5,20.4,18.3
2008.0,Georgia,4.4,13.6,22.1,22.7
2008.0,Hawaii,2.7,10.7,17.3,18.7
2008.0,Idaho,1.4,9.9,19.8,18.4
2008.0,Illinois,2.1,12.8,19.6,18.1
2008.0,Indiana,3.2,13.0,22.9,19.7
2008.0,Iowa,1.7,9.1,16.4,16.9
2008.0,Kansas,2.2,10.9,18.9,19.6
2008.0,Kentucky,3.4,13.1,22.3,21.3
2008.0,Louisiana,3.5,14.9,24.8,21.4
2008.0,Maine,2.6,9.4,19.0,18.9
2008.0,Maryland,2.4,12.4,21.6,18.0
2008.0,Massachusetts,2.2,8.8,18.2,17.2
2008.0,Michigan,3.0,12.6,21.3,17.3
2008.0,Minnesota,1.7,7.5,17.4,13.2
2008.0,Mississippi,4.4,15.2,24.3,22.7
2008.0,Missouri,3.8,12.4,18.0,16.9
2008.0,Montana,1.8,7.4,16.0,15.8
2008.0,Nebraska,2.6,10.1,17.1,17.3
2008.0,Nevada,2.4,12.7,19.4,22.4
2008.0,New Hampshire,2.4,8.6,15.7,19.2
2008.0,New Jersey,2.3,11.3,21.5,17.5
2008.0,New Mexico,2.7,10.8,17.7,16.0
2008.0,New York,2.4,11.4,20.3,18.9
2008.0,North Carolina,3.1,12.9,20.1,22.4
2008.0,North Dakota,2.6,8.7,19.0,17.2
2008.0,Ohio,3.4,12.7,22.0,21.6
2008.0,Oklahoma,3.7,13.1,22.8,19.7
2008.0,Oregon,2.1,9.1,18.1,13.2
2008.0,Pennsylvania,2.4,10.8,21.3,18.7
2008.0,Rhode Island,2.9,8.8,14.5,19.7
